"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000033880"	8655.95099033892	-0.0170986418823155	0.101369302238785	0.00295622339290538	0.529502829781863
"ENSMUSG00000033355"	937.063170176823	-0.0176086136352466	0.10431088567714	0.00298295599260616	0.529502829781863
"ENSMUSG00000117992"	31.9446293451707	0.0209085218827622	0.123526236416518	0.00308015660623878	0.541646978532606
"ENSMUSG00000068227"	146.940223698914	-0.0115583225062987	0.0745117875747164	0.00323122522955239	0.562951239993128
"ENSMUSG00000049907"	362.276804975576	-0.00609470123795748	0.0439374349894817	0.00337133724038202	0.581973224908515
"ENSMUSG00000118837"	56.993790799794	0.0136538628946892	0.0871138713264934	0.00341161190782003	0.583571724159469
"ENSMUSG00000050846"	1321.73582096832	-0.0161559802881748	0.102383934233743	0.00357292807885612	0.602431720599744
"ENSMUSG00000121510"	116.017385035418	-0.02217840936176	0.144442941406877	0.003585903098808	0.602431720599744
"ENSMUSG00000048490"	12193.5489373032	0.00361214039268677	0.0278932322091764	0.00369033230897231	0.614489316155956
"ENSMUSG00000068794"	250.35273616803	-0.00733267354559078	0.0530182100705572	0.00377018525449397	0.622278997794373
"ENSMUSG00000070691"	103.14356893885	-0.0162309340421751	0.105459166008891	0.003850652845469	0.630033773394301
"ENSMUSG00000058773"	437.618180790926	-0.0128979372501128	0.0869890035467816	0.00400877907226446	0.650251612273519
"ENSMUSG00000086235"	28.3860547980193	0.0158207091257793	0.106848874234042	0.00426765910404649	0.669281401413397
"ENSMUSG00000085001"	218.459884440813	0.0172179213652896	0.119002953154331	0.00447465676147597	0.669281401413397
"ENSMUSG00000076441"	762.718055541584	0.00428403608356092	0.0342917063954946	0.00426002576329065	0.669281401413397
"ENSMUSG00000029607"	26.8606865170274	0.0179257265452177	0.122991810757167	0.00435866120891953	0.669281401413397
"ENSMUSG00000007817"	8541.64039539616	0.00371489437496173	0.0303441876810888	0.00442312320307146	0.669281401413397
"ENSMUSG00000032281"	21487.9566270204	-0.00392298397141399	0.0320500103953084	0.00446820869882686	0.669281401413397
"ENSMUSG00000032596"	1125.37073224969	-0.00650878054713458	0.0498694713074987	0.00437624467802756	0.669281401413397
"ENSMUSG00000069300"	69.0530242091449	-0.0128827275977276	0.088780755828186	0.00430051034085931	0.669281401413397
"ENSMUSG00000113076"	25.8966147858065	0.0178655478571647	0.141900923365908	0.00441571622352187	0.669281401413397
"ENSMUSG00000056116"	2680.89755005611	-0.0103603872021562	0.0744173542603592	0.00448179509875043	0.669281401413397
"ENSMUSG00000079547"	161.527916521219	-0.0112977700405551	0.0803947533680084	0.00452523295910763	0.670447113059599
"ENSMUSG00000069272"	54.2330565634754	-0.0145255894050333	0.101130334966397	0.00458503506901093	0.674000155144606
"ENSMUSG00000045503"	566.503678226426	-0.00294290670143183	0.0245243738800952	0.00472591519716192	0.678092889822518
"ENSMUSG00000029722"	1480.15303826547	0.00275557806878738	0.0228791823405348	0.00475702920156103	0.678092889822518
"ENSMUSG00000025647"	5751.7269204481	-0.00262276474174441	0.0215356794955593	0.00470802523892897	0.678092889822518
"ENSMUSG00000094796"	34.9017748632494	-0.0175354949225586	0.126615440192632	0.00473863058429905	0.678092889822518
